Province_State,Old_Date,Confirmed,Deaths,Month,Day,Year,Date
Kansas,09-01-2022,864643,9019,09,01,2022,2022-09-01
Kentucky,09-01-2022,1542399,16729,09,01,2022,2022-09-01
Louisiana,09-01-2022,1433525,17877,09,01,2022,2022-09-01
Maine,09-01-2022,283147,2512,09,01,2022,2022-09-01
Maryland,09-01-2022,1224460,15194,09,01,2022,2022-09-01
Massachusetts,09-01-2022,2013992,21463,09,01,2022,2022-09-01
Michigan,09-01-2022,2770359,38038,09,01,2022,2022-09-01
Minnesota,09-01-2022,1639213,13471,09,01,2022,2022-09-01
Mississippi,09-01-2022,913049,12794,09,01,2022,2022-09-01
Missouri,09-01-2022,1618333,21444,09,01,2022,2022-09-01
Montana,09-01-2022,304169,3504,09,01,2022,2022-09-01
Nebraska,09-01-2022,530373,4455,09,01,2022,2022-09-01
Nevada,09-01-2022,841839,11400,09,01,2022,2022-09-01
New Hampshire,09-01-2022,344649,2662,09,01,2022,2022-09-01
New Jersey,09-01-2022,2679272,34567,09,01,2022,2022-09-01
New Mexico,09-01-2022,611765,8465,09,01,2022,2022-09-01
New York,09-01-2022,5994046,71163,09,01,2022,2022-09-01
North Carolina,09-01-2022,3120822,26335,09,01,2022,2022-09-01
North Dakota,09-01-2022,265271,2348,09,01,2022,2022-09-01
Northern Mariana Islands,09-01-2022,13120,40,09,01,2022,2022-09-01
Ohio,09-01-2022,3074826,39791,09,01,2022,2022-09-01
Oklahoma,09-01-2022,1174015,16720,09,01,2022,2022-09-01
Oregon,09-01-2022,878610,8415,09,01,2022,2022-09-01
Pennsylvania,09-01-2022,3185902,46716,09,01,2022,2022-09-01
Puerto Rico,09-01-2022,926749,4979,09,01,2022,2022-09-01
Rhode Island,09-01-2022,418635,3645,09,01,2022,2022-09-01
South Carolina,09-01-2022,1674281,18263,09,01,2022,2022-09-01
South Dakota,09-01-2022,257547,2993,09,01,2022,2022-09-01
Tennessee,09-01-2022,2304564,27513,09,01,2022,2022-09-01
Texas,09-01-2022,7831289,90026,09,01,2022,2022-09-01
Utah,09-01-2022,1029759,4981,09,01,2022,2022-09-01
Vermont,09-01-2022,140308,707,09,01,2022,2022-09-01
Virgin Islands,09-01-2022,22745,122,09,01,2022,2022-09-01
Virginia,09-01-2022,2042890,21439,09,01,2022,2022-09-01
Washington,09-01-2022,1784728,14039,09,01,2022,2022-09-01
West Virginia,09-01-2022,583775,7291,09,01,2022,2022-09-01
Wisconsin,09-01-2022,1833933,15084,09,01,2022,2022-09-01
Wyoming,09-01-2022,174828,1881,09,01,2022,2022-09-01
